Date,Rate,ISO Code From,ISO Code To
"4/29/2019 Monday","5,191.50000",USD,VES
"4/30/2019 Tuesday","5,191.94000",USD,VES
"5/1/2019 Wednesday","5,191.94000",USD,VES
"5/2/2019 Thursday","5,191.96500",USD,VES
"5/3/2019 Friday","5,192.50000",USD,VES
"5/5/2019 Sunday","5,192.50000",USD,VES
"5/6/2019 Monday","5,191.50000",USD,VES
"5/7/2019 Tuesday","5,191.50000",USD,VES
"5/8/2019 Wednesday","5,191.50000",USD,VES
"5/9/2019 Thursday","5,192.00000",USD,VES
"5/10/2019 Friday","5,192.00000",USD,VES
"5/12/2019 Sunday","5,192.00000",USD,VES
"5/13/2019 Monday","5,191.50000",USD,VES
"5/14/2019 Tuesday","5,191.50000",USD,VES
"5/15/2019 Wednesday","5,244.99000",USD,VES
"5/16/2019 Thursday","5,244.50000",USD,VES
"5/17/2019 Friday","5,391.18000",USD,VES
"5/19/2019 Sunday","5,192.00000",USD,VES
"5/20/2019 Monday","5,545.50000",USD,VES
"5/21/2019 Tuesday","5,545.50000",USD,VES
"5/22/2019 Wednesday","5,533.50000",USD,VES
"5/23/2019 Thursday","5,626.00000",USD,VES
"5/24/2019 Friday","5,626.00000",USD,VES
"5/26/2019 Sunday","5,626.00000",USD,VES
"5/27/2019 Monday","5,626.00000",USD,VES
"5/28/2019 Tuesday","5,630.00000",USD,VES
"5/29/2019 Wednesday","5,822.50000",USD,VES
"5/30/2019 Thursday","5,817.55000",USD,VES
"5/31/2019 Friday","5,817.55000",USD,VES
"6/2/2019 Sunday","5,791.92000",USD,VES
"6/3/2019 Monday","5,875.50000",USD,VES
"6/4/2019 Tuesday","5,875.00000",USD,VES
"6/5/2019 Wednesday","5,891.50000",USD,VES
"6/6/2019 Thursday","5,906.50000",USD,VES
"6/7/2019 Friday","5,906.00000",USD,VES
"6/9/2019 Sunday","5,893.00000",USD,VES
"6/10/2019 Monday","5,906.00000",USD,VES
"6/11/2019 Tuesday","6,072.50000",USD,VES
"6/12/2019 Wednesday","6,125.50000",USD,VES
"6/13/2019 Thursday","6,145.50000",USD,VES
"6/14/2019 Friday","6,163.50000",USD,VES
"6/16/2019 Sunday","6,163.50000",USD,VES
"6/17/2019 Monday","6,230.50000",USD,VES
"6/18/2019 Tuesday","6,230.50000",USD,VES
"6/19/2019 Wednesday","6,204.50000",USD,VES
"6/20/2019 Thursday","6,260.50000",USD,VES
"6/21/2019 Friday","6,278.50000",USD,VES
"6/23/2019 Sunday","6,278.50000",USD,VES
"6/24/2019 Monday","6,508.00000",USD,VES
"6/25/2019 Tuesday","6,508.00000",USD,VES
"6/26/2019 Wednesday","6,464.00000",USD,VES
"6/27/2019 Thursday","6,464.00000",USD,VES
"6/28/2019 Friday","6,552.00000",USD,VES
"7/1/2019 Monday","6,552.00000",USD,VES
"7/2/2019 Tuesday","6,724.00000",USD,VES
"7/3/2019 Wednesday","6,906.00000",USD,VES
"7/5/2019 Friday","7,190.00000",USD,VES
"7/8/2019 Monday","7,190.00000",USD,VES
"7/9/2019 Tuesday","6,962.00000",USD,VES
"7/10/2019 Wednesday","7,128.00000",USD,VES
"7/11/2019 Thursday","7,128.00000",USD,VES
"7/12/2019 Friday","7,128.00000",USD,VES
"7/15/2019 Monday","7,188.00000",USD,VES
"7/16/2019 Tuesday","7,230.00000",USD,VES
"7/17/2019 Wednesday","7,230.00000",USD,VES
"7/18/2019 Thursday","7,328.00000",USD,VES
"7/19/2019 Friday","7,460.00000",USD,VES
"7/22/2019 Monday","7,488.00000",USD,VES
"7/23/2019 Tuesday","7,592.00000",USD,VES
"7/24/2019 Wednesday","8,050.00000",USD,VES
"7/25/2019 Thursday","8,538.00000",USD,VES
"7/26/2019 Friday","8,538.00000",USD,VES
"7/29/2019 Monday","8,538.00000",USD,VES
"7/30/2019 Tuesday","9,824.00000",USD,VES
"7/31/2019 Wednesday","9,824.00000",USD,VES
"8/1/2019 Thursday","9,806.00000",USD,VES
"8/2/2019 Friday","11,916.00000",USD,VES
"8/5/2019 Monday","11,926.00000",USD,VES
"8/6/2019 Tuesday","12,028.00000",USD,VES
"8/7/2019 Wednesday","12,554.00000",USD,VES
"8/8/2019 Thursday","13,004.00000",USD,VES
"8/9/2019 Friday","12,994.00000",USD,VES
"8/26/2019 Monday","13,209.00000",USD,VES
"8/27/2019 Tuesday","17,632.00000",USD,VES
